Rank,Movie,"Release Date",Distributor,Genre,2019 Gross,Tickets Sold
1,Avengers: Endgame,"Apr 26, 2019",Walt Disney,Action,"$857,190,335","94,093,340"
2,Captain Marvel,"Mar 8, 2019",Walt Disney,Action,"$426,829,839","46,852,891"
3,Toy Story 4,"Jun 21, 2019",Walt Disney,Adventure,"$404,979,743","44,454,417"
4,The Lion King,"Jul 19, 2019",Walt Disney,Adventure,"$403,748,078","44,319,218"
5,Spider-Man: Far From Home,"Jul 2, 2019",Sony Pictures,Action,"$354,788,925","38,944,997"
6,Aladdin,"May 24, 2019",Walt Disney,Adventure,"$348,926,592","38,301,491"
7,Us,"Mar 22, 2019",Universal,Thriller/Suspense,"$175,006,930","19,210,420"
8,John Wick: Chapter 3 — Para…,"May 17, 2019",Lionsgate,Action,"$169,935,857","18,653,771"
9,How to Train Your Dragon: T…,"Feb 22, 2019",Universal,Adventure,"$160,799,505","17,650,878"
10,The Secret Life of Pets 2,"Jun 7, 2019",Universal,Adventure,"$154,899,025","17,003,186"
11,Pokémon: Detective Pikachu,"May 10, 2019",Warner Bros.,Adventure,"$143,918,451","15,797,854"
12,Shazam!,"Apr 5, 2019",Warner Bros.,Action,"$140,371,656","15,408,524"
13,Aquaman,"Dec 21, 2018",Warner Bros.,Action,"$136,001,983","14,928,867"
14,Dumbo,"Mar 29, 2019",Walt Disney,Adventure,"$114,753,181","12,596,397"
15,Glass,"Jan 18, 2019",Universal,Thriller/Suspense,"$111,035,005","12,188,255"
16,Godzilla: King of the Monsters,"May 31, 2019",Warner Bros.,Action,"$110,074,501","12,082,821"
17,The Upside,"Jan 11, 2019",STX Entertainment,Comedy,"$108,235,497","11,880,954"
18,The LEGO Movie 2: The Secon…,"Feb 8, 2019",Warner Bros.,Adventure,"$105,806,508","11,614,325"
19,Rocketman,"May 31, 2019",Paramount Pictures,Drama,"$95,335,549","10,464,934"
20,Alita: Battle Angel,"Feb 14, 2019",20th Century Fox,Action,"$85,710,210","9,408,365"
21,Men in Black: International,"Jun 14, 2019",Sony Pictures,Adventure,"$79,017,701","8,673,732"
22,Tyler Perry’s A Madea Famil…,"Mar 1, 2019",Lionsgate,Comedy,"$73,257,045","8,041,388"
23,Annabelle Comes Home,"Jun 26, 2019",Warner Bros.,Horror,"$70,970,112","7,790,352"
24,Yesterday,"Jun 28, 2019",Universal,Drama,"$66,152,655","7,261,542"
25,Dark Phoenix,"Jun 7, 2019",20th Century Fox,Action,"$65,687,489","7,210,481"
26,Once Upon a Time…in Hollywo…,"Jul 26, 2019",Sony Pictures,Thriller/Suspense,"$64,467,475","7,076,561"
27,Spider-Man: Into The Spider…,"Dec 14, 2018",Sony Pictures,Adventure,"$56,194,964","6,168,492"
28,Bumblebee,"Dec 21, 2018",Paramount Pictures,Adventure,"$55,769,470","6,121,785"
29,The Curse of La Llorona,"Apr 19, 2019",Warner Bros.,Horror,"$54,733,739","6,008,094"
30,Pet Sematary,"Apr 5, 2019",Paramount Pictures,Horror,"$54,724,696","6,007,101"
31,What Men Want,"Feb 8, 2019",Paramount Pictures,Comedy,"$54,611,903","5,994,720"
32,Green Book,"Nov 21, 2018",Universal,Comedy,"$49,849,340","5,471,936"
33,Isn’t it Romantic,"Feb 13, 2019",Warner Bros.,Romantic Comedy,"$48,791,187","5,355,783"
34,Five Feet Apart,"Mar 15, 2019",Lionsgate,Drama,"$45,729,221","5,019,672"
35,MA,"May 31, 2019",Universal,Horror,"$45,373,120","4,980,583"
36,Wonder Park,"Mar 15, 2019",Paramount Pictures,Adventure,"$45,216,793","4,963,424"
37,A Dog’s Way Home,"Jan 11, 2019",Sony Pictures,Drama,"$41,952,715","4,605,127"
38,Breakthrough,"Apr 17, 2019",20th Century Fox,Drama,"$40,713,082","4,469,054"
39,Little,"Apr 12, 2019",Universal,Comedy,"$40,673,960","4,464,759"
40,The Mule,"Dec 14, 2018",Warner Bros.,Drama,"$39,084,073","4,290,238"
41,Escape Room,"Jan 4, 2019",Sony Pictures,Thriller/Suspense,"$38,762,584","4,254,948"
42,The Hustle,"May 10, 2019",MGM,Comedy,"$35,417,038","3,887,709"
43,The Intruder,"May 3, 2019",Sony Pictures,Thriller/Suspense,"$35,388,976","3,884,629"
44,Crawl,"Jul 12, 2019",Paramount Pictures,Horror,"$34,550,773","3,792,620"
45,Mary Poppins Returns,"Dec 19, 2018",Walt Disney,Musical,"$33,141,176","3,637,889"
46,Cold Pursuit,"Feb 8, 2019",Lionsgate,Thriller/Suspense,"$32,138,862","3,527,866"
47,Dragon Ball Super: Broly,"Jan 16, 2019",FUNimation,Action,"$30,376,755","3,334,440"
48,Long Shot,"May 3, 2019",Lionsgate,Romantic Comedy,"$30,316,271","3,327,801"
49,Child’s Play,"Jun 21, 2019",Orion Pictures,Horror,"$29,108,158","3,195,187"
50,Happy Death Day 2U,"Feb 13, 2019",Universal,Thriller/Suspense,"$28,051,045","3,079,148"
51,Bohemian Rhapsody,"Nov 2, 2018",20th Century Fox,Drama,"$26,490,206","2,907,816"
52,Midsommar,"Jul 3, 2019",A24,Horror,"$24,804,341","2,722,759"
53,Fast & Furious Presents: Ho…,"Aug 2, 2019",Universal,Action,"$23,720,000","2,603,732"
54,Fighting With My Family,"Feb 14, 2019",United Artists,Comedy,"$22,958,583","2,520,151"
